track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto and  Jung Kook",2,2023,7,14,553,147,826,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,138,F,Major,51,32,53,17,0,31,6
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,144,A,Minor,65,23,80,14,63,11,6
Sprinter,"Dave and  Central Cee",2,2023,6,1,2186,91,946,141,C#,Major,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado and  Peso Pluma",2,2023,3,16,3090,50,418,148,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,1,2023,7,7,714,43,58149378,100,F,Major,67,26,71,37,0,11,4
fukumean,Gunna,1,2023,5,15,1096,83,95217315,130,C#,Minor,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma and  Yng Lvcas",2,2023,3,17,2953,44,339,170,D,Minor,81,56,48,21,0,8,33
un x100to,"Bad Bunny and  Grupo Frontera",2,2023,4,17,2876,40,251,83,F#,Minor,57,56,72,23,0,27,5
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,150,F,Minor,78,52,82,18,0,15,7
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,021",118,,Major,71,65,68,6,0,3,7
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,281",130,D,Minor,51,32,43,83,0,9,3
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,120,B,Minor,78,76,59,43,0,34,3
Classy 101,"Feid and  Young Miko",2,2023,3,31,2610,40,187,100,B,Major,86,67,66,14,0,12,16
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,120,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros and  Junior H and  Peso Pluma",3,2023,6,22,332,4,0,140,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylor   s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,123,F#,Major,69,82,76,6,0,6,3
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,130,G,Minor,79,96,86,9,0,9,9
MOJABI GHOST,"Tainy and  Bad Bunny",2,2023,6,29,859,40,211,122,F#,Minor,81,74,71,14,0,56,4
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,204,F#,Major,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,110,B,Minor,67,78,85,2,0,33,5
