Shorty Party,"Cartel De Santa and  La Kelly",33,93,10
AMARGURA,Karol G,153372011,92,15
Sprinter,"Dave and  Central Cee",946,92,8
Cupido,Tini,217672943,91,31
Princess Diana (with Nicki Minaj),"Nicki Minaj and  Ice Spice",0,90,10
If We Ever Broke Up,Mae Stephens,165584767,90,9
S-Class,Stray Kids,65496046,89,7
Classy 101,"Feid and  Young Miko",187,86,12
PERO T ,"Karol G and  Quevedo",1,86,11
S91,Karol G,16011326,86,9
T  ,"dennis and  MC Kevin o Chris",167,86,9
fukumean,Gunna,95217315,85,28
Chanel,"Becky G and  Peso Pluma",26,85,9
Rara Vez,"Taiu and  Milo j",88,84,34
Cart  o B,"MC Caverinha and  KayBlack",11,84,20
Novo Balan ,"Veigh and  Bvga Beatz and  Supernova Ent and  Prod Malax",66,84,13
FLOWER,JISOO,232896922,84,11
Private Landing (feat. Justin Bieber & Future),"Don Toliver and  Future and  Justin Bieber",19,84,11
Danger (Spider) (Offset & JID),"Offset and  JID",0,83,23
All My Life (feat. J. Cole),"J. Cole and  Lil Durk",478,83,10
Search & Rescue,Drake,175097833,82,33
Queencard,(G)I-DLE,96273746,82,27
VAGABUNDO,"Sebastian Yatra and  Manuel Turizo and  Be  ",203,82,23
Ni  a Bo,"Sean Paul and  Feid",44,82,10
Area Codes,"Kaliii and  Kaliii",171,82,9
Mas Rica Que Ayer,"Mambo Kingz and  DJ Luian and  Anuel Aa",1,82,9
MOJABI GHOST,"Tainy and  Bad Bunny",211,81,56
New Jeans,NewJeans,29562220,81,12
Mi Bello Angel,Natanael Cano,31873544,81,9
La Bebe - Remix,"Peso Pluma and  Yng Lvcas",339,81,8
Bite Me,ENHYPEN,76767396,80,11
OMG,NewJeans,430977451,80,11
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers and  LE SSERAFIM",49,80,11
Mami Chula,"Quevedo and  Jhayco",43,80,9
Seven (feat. Latto) (Explicit Ver.),"Latto and  Jung Kook",826,80,8
VIBE (feat. Jimin of BTS),"TAEYANG and  Jimin",15,79,26
69,"Nicky Jam and  Feid",3,79,11
TQM,Fuerza Regida,176553476,79,11
X SI VOLVEMOS,"Karol G and  Romeo Santos",4,79,11
SABOR FRESA,Fuerza Regida,78300654,79,9
QUEMA,"Sog and  Ryan Castro and  Peso Pluma",208,79,6
Cupid - Twin Ver.,Fifty Fifty,496795686,78,34
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar and  Beyonc ",1,78,16
Super Shy,NewJeans,58255150,78,15
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin and  Coi Leray",19,78,13
PRC,"Natanael Cano and  Peso Pluma",15,78,12
El Merengue,"Marshmello and  Manuel Turizo",323,78,11
Eyes Closed,Ed Sheeran,195576623,78,11
Bye,Peso Pluma,95053634,78,10
Las Morras,"BLESSD and  Peso Pluma",1,78,7
BABY HELLO,"Rauw Alejandro and  Bizarrap",169,77,43
Cupid,Fifty Fifty,139681964,77,38
Conex  es de M  fia (feat. Rich ,"Rich The Kid and  Matu ",29,77,26
BESO,"Rauw Alejandro and  ROSAL ",171,77,17
Super,SEVENTEEN,91221625,77,17
LAGUNAS,"Jasiel Nu  ez and  Peso P",184,77,15
Shoong! (feat. LISA of BLACKPINK),"TAEYANG and  Lisa",64,76,41
Stand By Me (feat. Morgan Wallen),"Lil Durk and  Morgan Wallen",113,76,16
LUNA,"Junior H and  Peso Pluma",74,75,15
Acr  s,Shakira,123124076,75,10
Cheques,Shubh,47956378,74,27
Rush,Troye Sivan,22581161,74,11
What It Is (Solo Version),Doechii,95131998,74,10
El Gordo Trae El Mando,Chino Pacas,255932395,74,5
People Pt.2 (feat. IU),"IU and  Agust D",24,73,32
Pi  man De ,"Semicenk and  Do  u ",33,73,13
HAPPY,NF,52722996,73,12
WANDA,Quevedo,175399345,72,21
VOID,Melanie Martinez,67070410,72,19
El Cielo,"Feid and  Myke Towers and  Sky Rompiendo",110,72,10
TQG,"Karol G and  Shakira",354,72,9
DOGTOOTH,"Tyler and  The Creator",33,71,22
Sugar Rush Ride,TOMORROW X TOGETHER,107642809,71,17
Fast Car,Luke Combs,157058870,71,12
LALA,Myke Towers,133716286,71,10
Peaches (from The Super Mario Bros. Movie),Jack Black,68216992,71,10
Haegeum,Agust D,118810253,70,47
I'm Not Here To Make Friends,"Sam Smith and  Calvin Harris and  Jessie Reyez",9,70,41
Boy's a liar Pt. 2,"PinkPantheress and  Ice Spice",37,70,25
Abcdario,"Junior H and  Eden Mu  ",109,70,11
Dijeron Que No La Iba Lograr,"Fuerza Regida and  Chino Pacas",9,70,11
Red Ruby Da Sleeze,Nicki Minaj,81419389,70,11
Rosa Pastel,"Jasiel Nu  ez and  Peso P",1,70,11
Fin de Semana,"Oscar Maydon and  Junior H",30,70,9
Nosso Quadro,"Ana Castela and  AgroPlay",72,69,31
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore and  ARIZONATEARS and  Lil Uzi Vert",0,69,15
I Can See You (Taylor   s Version) (From The ,Taylor Swift,52135248,69,6
Mu  ,"Steve Aoki and  Tini and  La Joaqui",0,68,31
CORAZ  N VA,Maria Becerra,43857627,68,30
Coco Chanel,"Bad Bunny and  Eladio Carrion",82,68,10
on the street (with J. Cole),"j-hope and  J. Cole",9,68,9
I AM,IVE,123132751,68,8
I Wrote The Book,Morgan Wallen,83021468,68,8
Oi Balde - Ao Vivo,Z   Neto & Crist,145458418,67,80
Dance The Night (From Barbie The Album),Dua Lipa,127408954,67,33
Hits Different,Taylor Swift,68616963,67,30
I Know - PR1SVX Edit,"Kanii and  PR1ISVX",1,67,30
Columbia,Quevedo,58149378,67,11
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,67,8
Ella Baila Sola,"Eslabon Armado and  Peso Pluma",418,67,8
Thinkin    B,Morgan Wallen,125917280,66,12
Love Again,The Kid Laroi,147538971,66,11
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey and  Taylor Swift",0,66,11
LADY GAGA,"Gabito Ballesteros and  Junior H and  Peso Pluma",0,65,42
Mine (Taylor's Version),Taylor Swift,36912123,65,17
REMIX EXCLUSIVO,Feid,117206995,65,15
WHERE SHE GOES,Bad Bunny,303236322,65,11
Tormenta (feat. Bad Bunny),"Gorillaz and  Bad Bunny",0,64,38
Ain   t Tha,Morgan Wallen,88791109,64,36
Moonlight,Kali Uchis,256483385,64,17
TRUSTFALL,P!nk,134255790,64,15
Miracle (with Ellie Goulding),"Calvin Harris and  Ellie Goulding",638,64,8
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo and  Mari Fernandez",29,63,91
Like Crazy,Jimin,363369738,63,36
Novidade na   ,"Mc Livinho and  DJ Matt D",72,63,35
Karma (feat. Ice Spice),"Taylor Swift and  Ice Spice",0,62,58
Like Crazy (English Version),Jimin,173627354,62,39
Take Two,BTS,118482347,62,38
POLARIS - Remix,"Feid and  Mora and  Saiko and  Quevedo",99,62,37
Mejor Que Yo,"Mambo Kingz and  DJ Luian and  Anuel Aa",1,62,12
Fr  gil (feat. Grupo Front,"Yahritza Y Su Esencia and  Grupo Frontera",212,61,11
Double Fantasy (with Future),"The Weeknd and  Future",0,60,50
Baby Don't Hurt Me,"David Guetta and  Anne-Marie and  Coi Leray",810,60,12
