Shorty Party,"Cartel De Santa and  La Kelly",2,2023,3,4,432,12,33,96,D,Major,93,47,47,33,0,10,36
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,107,F#,Minor,92,55,70,18,0,15,7
Sprinter,"Dave and  Central Cee",2,2023,6,1,2186,91,946,141,C#,Major,92,66,58,19,0,8,24
Cupido,Tini,1,2023,2,14,1240,24,217672943,120,A,Major,91,63,58,52,0,31,22
Princess Diana (with Nicki Minaj),"Nicki Minaj and  Ice Spice",2,2023,4,14,1444,4,0,148,A,Major,90,74,68,14,0,10,19
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,116,G,Major,90,96,73,62,0,9,4
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,105,F,Minor,89,67,78,9,0,7,33
Classy 101,"Feid and  Young Miko",2,2023,3,31,2610,40,187,100,B,Major,86,67,66,14,0,12,16
PERO T ,"Karol G and  Quevedo",2,2023,2,23,387,11,1,140,F#,Major,86,68,79,39,0,11,29
S91,Karol G,1,2023,7,14,525,41,16011326,128,,Minor,86,42,72,59,0,9,19
