Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,142,D,Major,50,20,64,1,0,12,3
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,170,D,Major,50,37,90,0,0,12,5
Man Made A Bar (feat. Eric Church),"Morgan Wallen and  Eric Church",2,2023,3,3,329,0,0,148,E,Major,50,49,76,12,0,12,3
   98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,142,D,Major,49,48,67,10,0,26,3
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,100,F#,Minor,49,17,35,71,9,11,3
SORRY NOT SORRY,"Tyler and  The Creator",2,2023,3,31,709,0,0,96,F#,Minor,48,50,80,40,0,37,20
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,98,F,Major,44,36,41,50,0,38,5
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey and  Suga",2,2023,6,5,215,6,4,84,A,Minor,43,14,74,1,0,19,8
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,281",130,D,Minor,51,32,43,83,0,9,3
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,021",118,,Major,71,65,68,6,0,3,7
